127.0.0.1, 2014-11-09 20:32:50, GET, /StuffShare/default/index, HTTP/1.1, 200, 0.017410
127.0.0.1, 2014-11-09 20:37:15, GET, /StuffShare/default/index, HTTP/1.1, 500, 0.072806
127.0.0.1, 2014-11-09 20:37:17, GET, /admin/default/ticket/StuffShare/127.0.0.1.2014-11-09.20-37-15.01e9cdb7-0c7c-4d30-9bd0-2a65dcc7ccfe, HTTP/1.1, 200, 0.072093
127.0.0.1, 2014-11-09 20:37:17, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000454
127.0.0.1, 2014-11-09 20:37:17, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/default/site, HTTP/1.1, 200, 0.048433
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000987
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001492
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.002441
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.002589
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001913
127.0.0.1, 2014-11-09 20:42:27, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001150
